date,Exports -  GWh,Imports -  GWh,Gas (OCGT) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Gas (OCGT) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Rooftop) Market Value - AUD
2023-08-27,-3.03,4.09,0.35,26.82,1.82,0.90,12.30,7.12,2.50,51.87,3332.00,232.20,113.51,54.64,20347.00,1570182.00,95371.00,25436.00
2023-08-28,-6.50,1.84,0.57,32.39,3.67,0.69,14.70,8.80,3.60,88.30,1735.00,381.00,62.06,55.71,32466.00,1929594.00,199191.00,22364.00
2023-08-29,-1.73,4.12,0.00,23.42,4.26,0.53,18.50,13.09,8.40,0.00,2552.00,0.00,83.39,39.58,0.00,1051649.00,159106.00,7707.00
2023-08-30,-2.78,4.47,0.27,22.30,6.21,0.74,14.60,11.21,9.00,40.13,3264.00,179.20,109.05,45.67,15974.00,1120325.00,276686.00,21012.00
2023-08-31,-5.08,1.45,0.00,23.61,11.24,0.83,15.50,11.01,8.40,0.00,899.00,0.00,28.05,40.31,0.00,1128859.00,409429.00,6777.00
2023-09-01,-7.00,0.03,0.76,35.07,2.19,0.91,12.90,9.56,6.60,117.90,31.40,501.90,13.00,60.09,52272.00,2127440.00,130709.00,33154.00
2023-09-02,-4.88,2.75,0.69,30.56,0.81,0.90,13.00,8.70,3.80,106.90,2344.00,457.80,87.39,57.30,44357.00,1977197.00,58357.00,8506.00
2023-09-03,-1.65,5.19,0.00,20.93,5.20,0.79,17.70,9.74,3.40,0.00,4435.00,0.00,145.59,16.83,0.00,485923.00,67927.00,1056.00
2023-09-04,-2.98,5.38,0.00,19.57,7.98,0.83,21.20,13.45,5.90,0.00,3276.00,0.00,106.42,21.59,0.00,672152.00,121270.00,2404.00
2023-09-05,-3.16,4.44,0.00,22.11,6.64,0.89,13.60,10.38,5.70,0.00,2816.00,0.00,91.08,31.90,0.00,873177.00,223415.00,12903.00
2023-09-06,-3.57,3.73,0.00,20.11,9.07,0.59,17.70,12.76,7.80,0.00,2555.00,0.00,85.37,15.95,0.00,428467.00,107892.00,3045.00
2023-09-07,-0.40,6.28,0.00,15.59,7.25,0.84,15.50,13.18,11.20,0.00,3601.00,0.00,121.79,6.92,0.00,169525.00,25830.00,198.30
2023-09-08,-2.17,3.15,0.00,20.79,7.90,0.76,15.90,12.79,10.00,0.00,1846.00,0.00,60.66,18.65,0.00,470375.00,140120.00,-7353.00
2023-09-09,-4.62,3.44,0.22,22.35,8.66,1.10,12.20,9.45,7.10,33.90,2400.00,144.00,80.59,29.38,13321.00,921297.00,187258.00,-16809.00
2023-09-10,-6.88,1.38,0.00,28.90,6.52,0.95,16.40,10.10,5.20,0.00,1135.00,0.00,36.78,34.85,0.00,1133375.00,186726.00,11864.00
2023-09-11,-5.08,1.53,0.53,33.07,1.76,0.97,12.20,8.16,2.10,75.93,1445.00,351.50,52.51,57.64,38782.00,1991994.00,104683.00,34435.00
2023-09-12,-5.44,3.46,0.33,28.51,3.07,0.74,17.30,12.01,8.80,50.88,2487.00,219.30,86.59,46.17,19220.00,1538453.00,130890.00,9469.00
2023-09-13,-4.92,2.46,0.51,28.32,3.48,0.73,23.20,15.10,8.00,79.83,2111.00,337.60,77.47,52.04,28421.00,1664038.00,147375.00,15231.00
2023-09-14,-0.31,6.80,0.02,18.05,3.06,0.86,20.50,15.08,11.20,0.00,4700.00,16.37,165.62,25.90,747.30,469262.00,56682.00,47762.00
2023-09-15,-4.30,4.25,0.00,18.63,10.10,0.99,20.20,16.22,12.30,0.00,2887.00,0.00,97.27,10.70,0.00,365019.00,101272.00,-14968.00
2023-09-16,-3.50,4.08,0.00,16.44,12.10,0.52,15.80,13.23,10.90,0.00,2824.00,0.00,95.29,-1.53,0.00,17067.00,-17705.00,-4717.00
2023-09-17,-5.57,3.78,0.00,20.70,9.60,1.15,16.50,12.16,9.00,0.00,3052.00,0.00,102.91,14.15,0.00,530818.00,78430.00,-13372.00
2023-09-18,-6.50,0.62,0.00,30.49,4.54,1.22,18.10,12.58,8.40,0.00,601.10,0.00,19.80,31.46,0.00,1045155.00,120125.00,21748.00
2023-09-19,-3.10,4.18,0.00,18.77,8.64,1.09,22.70,15.65,9.40,0.00,2526.00,0.00,85.40,1.46,0.00,93738.00,-2826.00,-12648.00
2023-09-20,-3.00,6.20,0.00,16.00,9.82,1.05,13.00,9.46,7.40,0.00,3770.00,0.00,125.38,-12.65,0.00,74187.00,-134496.00,-39846.00
2023-09-21,-6.06,1.05,0.27,30.31,4.92,1.04,11.00,8.16,5.40,42.28,749.40,178.80,28.11,29.29,15550.00,1009118.00,84431.00,9246.00
2023-09-22,-5.81,1.93,0.24,31.59,2.14,1.25,15.90,9.54,1.90,35.55,1691.00,156.30,57.82,40.21,13808.00,1431517.00,68852.00,8946.00
2023-09-23,-5.22,3.60,0.00,28.11,0.45,1.19,16.60,11.18,6.70,0.00,3120.00,0.00,110.91,37.74,0.00,1219799.00,18532.00,16014.00
2023-09-24,-3.89,4.26,0.00,21.64,5.41,1.06,22.10,13.86,7.50,0.00,3471.00,0.00,121.89,33.47,0.00,855029.00,170878.00,14595.00
2023-09-25,-3.82,4.00,0.27,22.20,5.91,0.78,15.50,11.16,6.90,41.23,2927.00,177.40,104.41,37.16,14137.00,967598.00,204423.00,14750.00
2023-09-26,-6.50,2.30,0.90,29.95,1.75,1.31,14.10,9.37,4.40,145.10,2027.00,597.50,83.44,48.19,50815.00,1547200.00,77573.00,30917.00
2023-09-27,-5.28,2.76,0.36,26.37,4.29,1.24,19.10,12.18,6.40,62.21,1894.00,239.30,69.66,39.02,18348.00,1179002.00,152777.00,15969.00
2023-09-28,-6.26,2.62,0.05,22.51,8.93,1.29,21.40,15.63,11.40,7.17,2103.00,34.94,73.10,19.03,2146.00,674809.00,162119.00,-29234.00
2023-09-29,-5.44,3.82,0.24,24.36,4.82,1.00,14.80,12.50,9.80,36.88,2894.00,160.40,104.76,28.24,14161.00,854233.00,96433.00,8451.00
2023-09-30,-2.25,6.15,0.10,15.78,6.20,0.97,23.40,15.78,6.90,15.70,4341.00,64.58,162.93,12.42,4537.00,370056.00,56703.00,-1270.00
2023-10-01,-1.60,6.95,0.21,12.59,7.86,1.12,21.00,14.26,8.50,30.54,4504.00,140.50,170.04,-4.23,5602.00,181640.00,-99503.00,-25783.00
2023-10-02,-0.04,6.83,0.00,14.06,6.10,1.43,22.40,14.00,6.50,0.00,4768.00,0.00,168.02,30.13,0.00,477015.00,168918.00,20354.00
2023-10-03,-3.58,3.83,0.35,21.81,5.74,0.67,22.60,15.57,10.30,54.84,2449.00,235.70,91.24,49.91,21006.00,1180438.00,264631.00,39984.00
2023-10-04,-1.23,4.83,0.32,22.81,2.61,0.41,12.10,10.63,9.00,28.43,3163.00,210.30,112.47,60.60,24918.00,1452885.00,142960.00,17657.00
2023-10-05,-1.16,6.30,0.00,16.06,7.70,0.97,16.60,10.87,7.10,0.00,4041.00,0.00,135.35,42.72,0.00,739458.00,313285.00,16317.00
2023-10-06,-1.45,4.51,0.00,19.83,4.92,1.19,13.50,9.24,6.20,0.00,3561.00,0.00,122.82,41.34,0.00,918263.00,194471.00,30909.00
2023-10-07,-0.49,6.90,0.00,18.96,1.67,1.35,16.50,10.38,4.90,0.00,5915.00,0.00,208.35,43.06,0.00,885661.00,67118.00,34939.00
2023-10-08,-1.75,4.88,0.00,21.74,2.20,1.53,17.10,10.12,4.30,0.00,4465.00,0.00,156.17,40.20,0.00,991193.00,88299.00,30138.00
2023-10-09,-3.21,3.21,0.00,24.24,4.57,1.27,16.90,11.30,5.20,0.00,2840.00,0.00,94.40,45.87,0.00,1230266.00,208369.00,31326.00
2023-10-10,-3.68,3.08,0.37,26.29,0.67,1.46,15.00,11.03,6.90,59.25,2804.00,244.70,106.08,57.40,24656.00,1577053.00,37258.00,64027.00
2023-10-11,-0.29,6.86,0.00,17.22,4.15,1.47,21.00,13.34,7.80,0.00,4724.00,0.00,160.62,28.64,0.00,561892.00,105069.00,24087.00
2023-10-12,0.00,7.98,0.00,12.56,8.98,0.73,19.60,14.01,10.50,0.00,5591.00,0.00,184.82,22.36,0.00,291244.00,203782.00,11801.00
2023-10-13,-0.73,6.20,0.00,13.71,9.67,1.17,15.30,12.23,9.50,0.00,4094.00,0.00,136.33,15.72,0.00,290128.00,142169.00,1680.00
2023-10-14,-2.33,5.63,0.00,14.29,11.79,1.24,17.00,11.09,5.80,0.00,3682.00,0.00,120.28,3.76,0.00,171039.00,32200.00,-14350.00
2023-10-15,-4.20,3.27,0.00,24.07,7.49,1.16,15.30,9.79,7.30,0.00,2453.00,0.00,77.16,28.18,0.00,789436.00,201056.00,9719.00
2023-10-16,-0.26,6.85,0.00,16.60,7.59,1.29,15.00,9.46,6.30,0.00,4227.00,0.00,131.79,19.58,0.00,467660.00,103122.00,25558.00
