date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Battery (Discharging) -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Battery (Discharging) Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2023-01-05,-0.14,-5.49,0.01,0.00,1.97,0.00,0.00,0.00,0.12,25.89,2.59,11.97,24.10,18.07,13.40,0.37,7.90,0.00,1395.00,0.00,3.39,0.00,32.87,-7.60,-4834.00,-177711.00,-82.87,0.00,-40014.00,0.00,-76.29,0.00,-621.90,-193575.00,-134896.00,-654175.00
2023-01-06,-0.14,-1.50,2.90,0.00,1.97,0.00,0.00,0.00,0.10,21.09,2.23,12.16,28.40,22.84,16.60,295.40,2368.00,0.04,1398.00,0.00,3.38,0.00,37.31,-1.71,-5313.00,-27990.00,55932.00,0.87,-40802.00,0.00,-78.27,0.00,988.70,87158.00,-115197.00,-830366.00
2023-01-07,-0.19,-1.20,7.02,0.20,1.69,3.56,0.71,0.75,0.20,15.65,3.94,11.65,35.50,29.05,20.40,2161.00,6087.00,255.40,1196.00,1648.00,780.70,658.10,118.31,138.03,11794.00,-41854.00,-425720.00,97723.00,118777.00,1034669.00,300914.00,313725.00,77606.00,612196.00,268582.00,668225.00
2023-01-08,-0.22,-0.02,7.72,0.00,1.54,4.34,1.19,0.80,0.14,16.44,3.46,11.45,36.40,29.78,22.90,1746.00,6760.00,6.92,1092.00,2054.00,1194.00,700.00,128.22,99.84,8097.00,-847.40,-500646.00,1238.00,127846.00,685806.00,174004.00,171545.00,29201.00,1248849.00,154465.00,375521.00
2023-01-09,-0.24,-1.67,3.04,0.00,1.31,3.21,0.15,0.29,0.14,22.44,3.63,12.15,30.90,23.61,16.70,351.60,2728.00,0.00,928.80,1519.00,176.20,252.70,66.42,58.30,7131.00,-14346.00,-236748.00,0.00,47835.00,281267.00,8684.00,23066.00,8317.00,1269510.00,-8876.00,-24083.00
2023-01-10,-0.15,-0.49,3.37,0.00,1.03,4.18,0.20,0.48,0.13,18.25,3.48,12.30,31.20,22.78,14.10,453.60,2966.00,0.00,726.70,1980.00,193.40,420.90,82.93,65.44,1294.00,-15735.00,-266986.00,0.00,10563.00,402685.00,24664.00,48442.00,10456.00,1217478.00,-19615.00,-124308.00
2023-01-11,-0.20,-0.29,9.19,0.01,1.71,8.25,0.89,0.75,0.15,9.03,3.04,11.74,31.60,24.03,15.50,2779.00,8430.00,10.81,1213.00,3909.00,891.80,653.00,187.74,138.05,22616.00,28623.00,-1117193.00,1417.00,213660.00,1140695.00,153939.00,133582.00,27137.00,1211246.00,301557.00,1249718.00
2023-01-12,-0.17,-0.09,6.71,0.01,1.36,7.98,0.63,0.45,0.09,12.38,4.27,11.98,35.20,25.35,15.80,2039.00,6492.00,20.80,967.10,3780.00,609.20,389.30,147.28,131.16,15246.00,9608.00,-907365.00,1735.00,169103.00,1080169.00,90240.00,60375.00,12986.00,1566903.00,417829.00,1186654.00
2023-01-13,-0.18,-0.39,5.73,0.04,2.25,8.81,1.65,1.00,0.12,15.98,4.03,11.86,36.90,28.99,19.10,1964.00,4895.00,58.41,1593.00,4147.00,1870.00,872.50,186.75,166.69,23271.00,33548.00,-702207.00,14147.00,409053.00,1429627.00,399244.00,247045.00,30338.00,2223064.00,627871.00,2012527.00
2023-01-14,-0.22,-4.22,0.62,0.00,1.64,6.25,0.29,0.00,0.24,32.54,3.09,9.70,39.70,29.76,18.10,36.93,506.70,0.08,1163.00,2960.00,229.40,0.00,80.99,66.21,6819.00,311811.00,-12222.00,6.69,123364.00,492114.00,28520.00,0.00,25272.00,2258228.00,71113.00,190799.00
