date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biogas) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biogas) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biogas) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2023-06-17,-1.01,-2.32,73.95,246.70,0.00,0.66,0.01,1.78,11.87,2.33,0.36,0.93,0.91,38.69,123.40,30.39,41.36,89617.00,226641.00,0.00,118.30,9.56,1259.00,6984.00,1691.00,315.50,649.60,574.17,64.79,-21801.00,78347.00,-40216.00,25526924.00,0.00,62953.00,1023.00,-31473.00,1296229.00,295146.00,41310.00,86841.00,55332.00,2515041.00,579811.00,1437695.00,818493.00
2023-06-18,-1.44,-3.99,79.25,239.80,0.00,0.76,0.00,1.57,9.67,3.67,0.00,1.06,0.80,41.70,120.40,27.70,43.66,95767.00,220087.00,0.00,136.90,0.00,1112.00,6116.00,2574.00,0.00,737.70,578.33,56.53,-22231.00,-61412.00,-167117.00,22075450.00,0.00,58753.00,0.00,-19354.00,1029825.00,770092.00,0.00,76975.00,70505.00,2982411.00,1415686.00,25721.00,-625073.00
2023-06-19,-0.91,-2.57,92.71,266.20,0.00,0.93,0.33,5.67,22.87,8.86,1.03,1.15,1.10,62.11,104.80,26.38,42.77,111849.00,244184.00,0.00,167.40,365.80,3819.00,12571.00,6177.00,900.30,798.60,601.24,152.84,45560.00,92543.00,6827687.00,52455435.00,0.00,181500.00,106168.00,940130.00,5381506.00,3115276.00,209039.00,219654.00,207014.00,9942919.00,7498873.00,1201518.00,1632577.00
2023-06-20,-1.43,-2.52,97.13,286.50,0.00,0.94,0.38,10.22,38.50,20.60,1.71,1.20,1.10,85.66,38.35,27.74,43.05,116464.00,262717.00,0.00,168.40,409.10,6767.00,21726.00,15074.00,1493.00,839.40,655.74,166.86,163586.00,129535.00,17193925.00,45146126.00,0.00,130535.00,145675.00,2518980.00,7457649.00,5574763.00,406164.00,158757.00,290197.00,13028533.00,5270445.00,1979487.00,3136058.00
2023-06-21,-1.31,-2.58,93.41,288.10,0.00,0.92,0.18,9.29,35.98,11.81,0.96,1.16,0.86,78.43,67.39,28.56,41.62,111572.00,264191.00,0.00,166.20,137.70,5821.00,20603.00,8444.00,835.60,807.10,630.10,188.86,117360.00,152007.00,11178127.00,63755915.00,0.00,190994.00,139991.00,1160704.00,7970155.00,4848809.00,117162.00,219289.00,202401.00,14901612.00,7870499.00,2007461.00,2778808.00
2023-06-22,-1.03,-1.01,93.28,296.90,0.00,0.79,0.20,7.50,33.69,8.61,0.58,1.26,1.05,75.98,91.41,14.88,26.88,111418.00,272474.00,0.00,141.30,185.90,4647.00,19137.00,5954.00,506.10,877.20,638.04,122.60,114894.00,101613.00,10392973.00,38214273.00,0.00,90595.00,37721.00,879994.00,4429645.00,1341786.00,67249.00,152913.00,144994.00,8729966.00,9937706.00,1636247.00,2921300.00
2023-06-23,-1.31,-2.62,92.46,264.30,0.00,0.87,0.00,5.16,20.79,5.23,1.35,1.40,1.20,70.02,104.10,25.40,35.95,110480.00,242529.00,0.00,156.10,0.88,3154.00,12526.00,3575.00,1177.00,976.30,600.00,95.77,113787.00,124158.00,10060261.00,24002972.00,0.00,73929.00,115.60,722325.00,2172818.00,676532.00,200594.00,121365.00,167232.00,6594227.00,9062294.00,1478314.00,2355626.00
2023-06-24,-1.26,-4.79,78.92,231.00,0.00,0.90,0.00,1.00,8.26,2.70,0.00,1.41,0.85,36.28,148.60,32.43,43.82,94960.00,212441.00,0.00,161.60,1.91,711.40,5574.00,2064.00,0.03,983.50,546.26,39.45,-30107.00,41051.00,-1202845.00,17253407.00,0.00,63678.00,28.91,-17841.00,761566.00,227698.00,-2.15,98237.00,22731.00,1086585.00,647079.00,190262.00,-535471.00
2023-06-25,-1.00,-5.28,80.93,223.00,0.00,0.89,0.00,0.99,8.13,1.47,0.00,1.44,0.85,32.97,158.70,32.31,40.18,97636.00,205250.00,0.00,159.50,0.00,704.70,5298.00,1203.00,0.00,1005.00,540.77,34.63,-30232.00,15224.00,-1324570.00,15442673.00,0.00,61555.00,0.00,-21261.00,697581.00,68002.00,0.00,93033.00,40488.00,1190936.00,38282.00,57711.00,-463906.00
2023-06-26,-1.63,-2.70,97.26,241.30,0.00,0.88,0.33,2.13,19.40,9.58,1.71,1.44,1.45,48.19,118.70,29.16,42.12,116914.00,221957.00,0.00,159.00,441.90,1511.00,10877.00,7881.00,1495.00,1006.00,594.50,87.13,48957.00,20534.00,6066456.00,23106604.00,0.00,76090.00,88917.00,456773.00,3367105.00,2197825.00,441347.00,110593.00,226558.00,3928335.00,6014941.00,838500.00,979340.00
2023-06-27,-1.60,-1.50,111.10,262.40,0.00,0.76,0.55,3.74,31.19,10.93,2.01,1.39,1.26,65.16,75.99,18.46,36.70,133328.00,241315.00,0.00,136.10,674.00,2649.00,17620.00,9099.00,1760.00,968.40,658.89,107.64,116511.00,85682.00,9678836.00,26935514.00,0.00,51130.00,160193.00,1067434.00,5410250.00,2328952.00,523217.00,106680.00,213044.00,5436168.00,7047777.00,666046.00,1764522.00
2023-06-28,-1.43,-1.20,113.70,282.00,0.00,0.93,1.06,7.04,36.27,12.68,2.39,1.36,1.21,76.44,51.29,17.79,26.81,136393.00,259288.00,0.00,167.70,1361.00,4676.00,20640.00,9496.00,2087.00,951.90,692.40,141.78,200859.00,91111.00,12812638.00,33987582.00,0.00,92368.00,601877.00,2580931.00,10342369.00,4522629.00,1548931.00,131207.00,397771.00,7645926.00,6876074.00,1409492.00,2252926.00
2023-06-29,-1.33,-2.08,99.06,262.60,0.00,0.76,0.83,5.91,33.51,5.43,1.27,1.37,1.04,56.91,108.30,22.43,36.97,119203.00,241609.00,0.00,136.30,1158.00,3931.00,18789.00,4505.00,1109.00,955.50,618.35,84.41,68013.00,95756.00,5137580.00,23346664.00,0.00,68612.00,333897.00,1131814.00,4983645.00,915094.00,258305.00,120147.00,153336.00,4075660.00,8075622.00,1065066.00,1372008.00
2023-06-30,-1.33,-3.46,85.09,265.00,0.00,0.88,0.11,1.38,26.36,2.85,1.16,1.37,1.20,56.13,119.80,26.09,40.08,101691.00,242248.00,0.00,157.90,107.50,979.00,15489.00,2016.00,1012.00,957.00,585.61,74.29,23168.00,38727.00,5308651.00,22361446.00,0.00,65275.00,11575.00,111489.00,2320590.00,350065.00,135852.00,98973.00,116256.00,3377723.00,7404075.00,466764.00,481625.00
2023-07-01,-1.42,-2.81,91.33,268.90,0.00,0.90,0.00,3.11,22.86,5.21,1.88,1.34,1.21,59.71,70.89,21.83,36.57,109180.00,246416.00,0.00,162.40,0.00,2205.00,12511.00,3628.00,1642.00,937.00,647.77,113.15,93638.00,167225.00,9192779.00,32828188.00,0.00,107245.00,0.00,458967.00,3180490.00,911000.00,305973.00,150035.00,197146.00,4937424.00,7029296.00,1522499.00,2171001.00
2023-07-02,-1.31,-3.37,91.51,273.00,0.00,0.86,0.00,5.27,24.39,5.74,1.58,1.15,0.72,61.46,45.87,25.77,36.53,109380.00,250413.00,0.00,155.20,0.00,3523.00,13309.00,3792.00,1379.00,795.20,672.46,107.12,115669.00,185618.00,10068259.00,29165574.00,0.00,82738.00,0.00,790729.00,3249244.00,1011533.00,267982.00,107707.00,124058.00,5224015.00,4607473.00,1610451.00,2351287.00
2023-07-03,-0.86,-1.54,95.37,297.50,0.00,0.65,0.03,10.06,35.47,16.53,2.29,1.09,1.10,78.05,42.31,13.37,22.99,114292.00,272858.00,0.00,117.20,45.92,6396.00,19417.00,11606.00,2004.00,753.90,695.76,172.41,136729.00,143088.00,17095595.00,50018651.00,0.00,102583.00,12420.00,2283385.00,7200688.00,3835117.00,603133.00,173364.00,256139.00,9995412.00,6288585.00,2466491.00,4283557.00
2023-07-04,-1.53,-1.15,101.10,308.20,0.00,0.34,0.00,6.08,41.25,13.93,2.09,1.13,1.42,77.46,40.99,8.43,16.29,121888.00,282647.00,0.00,61.10,0.50,4045.00,24051.00,9396.00,1824.00,778.20,721.89,155.97,218029.00,104626.00,16191710.00,47744380.00,0.00,52473.00,99.62,1287641.00,7169318.00,2745181.00,455479.00,166554.00,320494.00,8614594.00,6073409.00,1573260.00,3055147.00
