date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Battery (Discharging) -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Battery (Discharging) Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2023-07-24,-2.00,-9.38,57.82,0.18,11.64,34.29,12.80,6.15,1.59,124.87,12.54,31.46,19.00,12.64,5.70,17121.78,44980.80,242.27,8249.60,16215.45,10930.40,5372.40,174.13,83.61,66620.00,-24633.00,-4476857.00,47697.87,1439662.00,4757727.00,2079067.00,1147911.00,241548.00,4371825.00,381843.00,619723.00
2023-07-31,-2.10,-6.86,29.41,0.21,7.59,51.75,11.06,5.76,1.58,128.99,11.52,36.51,24.40,13.40,6.60,8305.08,22452.00,295.05,5380.53,24867.00,10002.50,5033.10,178.75,115.75,88510.00,-211650.00,-2066217.00,548048.99,1273724.00,10949396.00,4187028.00,2182160.00,687946.50,2433424.00,1001319.00,622351.00
2023-08-07,-3.12,-6.55,41.43,1.24,10.30,66.52,13.74,8.35,2.62,90.70,13.46,38.43,21.90,12.05,3.90,15128.45,35754.10,1698.09,7301.20,31664.70,13295.10,7299.54,249.66,423.08,472132.00,-35449.08,-3974569.00,2182084.90,4646684.00,41365599.00,18236260.00,5964629.22,1646217.00,12411747.00,1854029.00,4670639.00
2023-08-14,-2.33,-12.12,36.20,0.33,10.20,57.58,9.87,6.58,1.69,119.02,12.96,38.85,19.00,12.63,4.20,12431.00,30742.20,468.34,7225.90,27126.00,8512.80,5755.80,190.94,114.93,106657.00,95417.70,-2482522.00,321716.49,1102941.00,10953761.00,3026015.00,1677365.00,417456.00,5997616.00,254721.90,758216.00
2023-08-21,-4.46,-15.45,50.93,0.01,14.51,57.74,7.20,7.82,3.69,79.33,17.43,50.25,23.00,13.06,6.00,18238.80,42571.00,21.17,10280.20,27964.00,5908.60,6839.40,214.36,88.05,126620.00,-52067.00,-3689593.00,1303.10,1213341.00,6139556.00,862687.00,919152.00,264026.00,4384789.00,221573.00,-3902.00
2023-08-28,-2.58,-11.56,38.89,0.12,9.16,50.33,9.83,4.98,1.96,92.11,16.11,52.70,25.90,15.05,6.30,13395.52,33095.68,178.89,6492.00,24186.40,8657.00,4351.58,184.85,141.83,65899.00,-424075.70,-3321373.00,338371.98,856232.70,8271763.00,5057194.00,1251771.00,652296.10,7432828.00,445229.00,-1135128.00
2023-09-04,-2.37,-16.47,30.51,0.08,7.68,31.76,8.98,4.44,1.79,130.80,15.40,57.48,23.50,12.79,3.80,8992.80,23411.00,103.37,5443.60,14858.20,7685.00,3876.60,123.71,47.31,-56563.00,-592569.30,-1742204.00,14168.14,416552.00,2912459.00,624958.00,692178.00,138527.00,2030732.00,-313187.00,-2393562.00
2023-09-11,-4.45,-22.59,39.22,0.01,8.24,37.17,5.57,2.32,3.48,89.39,16.19,66.45,30.50,18.13,8.00,12110.31,30556.40,10.42,5840.90,17290.40,4724.10,2024.40,130.63,65.45,17935.00,-360530.00,-2112216.00,1251.60,527783.00,3739388.00,540008.00,376009.00,144808.00,2181907.00,-70090.00,-1885447.00
2023-09-18,-4.47,-19.33,22.12,0.06,9.73,16.76,7.14,1.72,3.51,123.61,16.48,65.47,27.50,16.91,7.40,4763.95,17139.00,91.83,6892.40,7643.00,6232.44,1507.28,91.48,61.67,-11046.00,-374924.00,-1310130.00,17575.31,383399.00,1992376.00,799751.00,171848.00,332383.00,4216669.00,108479.00,-1386810.00
2023-09-25,-3.68,-14.77,32.53,0.10,7.87,21.54,13.34,1.95,2.72,98.75,16.81,73.38,31.10,17.35,7.10,9592.50,25856.00,142.70,5574.80,9948.10,12543.50,1707.00,126.52,60.54,-63930.00,-445036.00,-1695369.00,14209.58,373504.00,2080960.00,1178170.00,273458.00,272185.00,3314390.00,-42897.10,-2029553.00
2023-10-02,-2.50,-22.21,23.89,0.01,5.84,25.30,6.08,0.39,1.63,125.90,18.00,64.90,31.00,15.09,8.20,4693.48,18356.10,11.90,4140.10,11987.00,5445.30,337.03,88.38,41.33,-59427.10,-112803.00,-1082169.00,90.68,161833.30,1551510.00,224278.00,37312.63,88279.00,4160918.00,25886.10,-825012.00
2023-10-09,-2.65,-23.82,24.82,0.01,8.96,14.62,3.57,0.59,1.95,143.44,17.44,66.86,32.00,16.69,8.90,4009.01,20770.30,18.17,6347.10,6927.99,3077.80,519.30,65.61,27.98,-42782.00,-637501.00,-964184.00,114.90,51356.60,959247.66,180957.36,69313.00,125817.00,2158452.00,-147882.00,-1338623.00
2023-10-16,-3.00,-27.67,24.45,0.02,8.14,19.08,3.90,0.59,2.05,136.02,20.78,75.11,31.20,17.15,6.20,5615.79,19988.69,22.56,5771.40,9112.70,3695.06,511.76,71.94,36.49,-40186.00,-586408.00,-1781061.70,1711.65,176108.00,1648506.00,256000.93,123175.00,136925.00,1620670.00,111547.00,-868913.00
2023-10-23,-3.29,-26.84,16.01,0.09,6.11,22.45,5.03,1.07,2.41,144.95,12.63,80.46,28.00,15.38,5.40,3905.44,13110.40,130.20,4331.30,10606.82,4698.80,933.87,75.22,21.32,-204774.00,-1125329.00,-879771.00,26486.59,-48697.40,1292168.00,290354.90,152876.90,179782.00,-142234.00,-227819.00,-4562867.00
2023-10-30,-3.43,-17.94,19.72,0.00,10.21,25.35,1.69,1.19,2.62,116.05,16.13,83.75,25.20,15.81,7.80,3171.85,15733.40,3.33,7237.00,12766.00,1403.28,1039.90,87.35,27.65,-188407.00,-242973.00,-562387.00,-30.11,3950.00,1076458.00,115850.84,130851.00,58181.60,2661262.00,-230001.00,-3677493.00
2023-11-06,-3.34,-13.48,22.96,0.14,11.07,33.45,5.70,2.50,2.26,103.70,20.57,81.76,39.90,19.68,9.30,4420.90,18239.00,206.58,7843.50,15769.00,5340.76,2181.80,120.01,106.50,-57847.50,37532.00,-705322.00,178734.23,1654501.00,4788690.00,2605152.30,1019361.00,500149.00,6578785.00,313760.00,-304831.00
2023-11-13,-3.49,-13.19,25.45,0.01,8.69,37.30,4.72,4.03,2.69,86.19,17.11,80.15,25.70,16.99,8.80,6459.18,23142.56,8.59,6160.30,17512.00,3967.80,3521.72,129.40,84.73,-29724.10,354947.70,-2146757.00,439.01,559294.00,4179185.00,339285.00,474837.00,281801.00,6559458.00,-13950.00,-1326808.00
2023-11-20,-3.13,-19.24,23.47,0.00,9.70,28.96,2.41,3.22,2.32,114.74,20.60,67.50,26.30,17.56,11.10,5020.09,19737.80,0.04,6872.40,13882.90,2124.74,2816.10,103.01,55.08,-8905.00,-31224.00,-1340220.00,2.17,424933.00,2417554.00,124913.62,355911.00,179366.00,5124381.00,56308.00,-774846.00
2023-11-27,-1.21,-9.08,8.48,0.14,2.12,3.66,2.45,0.00,0.60,72.19,5.40,27.72,25.50,17.31,11.80,716.87,6227.30,205.49,1503.80,1731.70,2338.80,0.00,50.57,50.69,-7748.00,-111502.00,-324996.00,6670.10,69483.00,172091.00,216197.00,0.00,36884.90,2994177.00,328420.00,2953604.00
